Period,Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,Commercial Paper (Amount Outstanding) (in Crore),Consumer Price Index for Food and Beverages,Net Foreign Direct Investment (US $ Million),Direct Investment to India (US $ Million),Foreign Direct Investment By India (US $ Million),Net Portfolio Investment (US $ Million),Total Investment Inflows (US $ Million),FCNR(B)-Foreign Currency Non-Resident (Banks) (US $ Million),External Commercial Borrowings Registrations (US $ Million),Foreign Trade Exports Total (US $ Million),Foreign Trade Imports Total (US $ Million),Foreign Trade Balance Total (US $ Million),Market Borrowing SG Gross Amount Raised (in Crore),Exchange Rate of Indian Rupee to US Dollar (Month End)
Jun-2024,190.2,151.0,154.0,1280.0,1292.0,422447.45,198.4,2388.75,3610.05,1221.3,5448.77,7837.52,27414.08,2816.0,70325.15,111994.14,-41668.99,51821.0,83.45
May-2024,187.7,154.7,153.5,1269.0,1281.0,403970.0,193.2,2341.61,4048.71,1707.09,-1820.65,520.96,26852.83,4012.0,79182.51,123350.39,-44167.88,57500.0,83.3
Apr-2024,186.7,148.0,152.9,1263.0,1275.0,411533.6,191.9,1917.28,3105.18,1187.89,-2683.38,-766.09,26216.43,4285.0,70607.2,108976.09,-38368.89,36500.0,83.52
Mar-2024,185.8,160.0,151.4,1259.0,1270.0,388559.2,190.7,-1365.7,2296.41,3662.11,7785.3,6419.6,25733.33,7734.0,83385.49,114054.27,-30668.78,192763.49,83.37
Feb-2024,185.8,147.1,151.2,1258.0,1269.0,408048.25,190.3,-28.03,1202.64,1230.67,3745.61,3717.57,24901.66,2296.0,41405.62,60919.29,-19513.67,106259.0,82.92
Jan-2024,185.5,153.6,151.2,1258.0,1268.0,377707.2,190.1,3677.19,4548.48,871.29,-139.1,3538.08,23517.12,3090.0,37323.8,53876.53,-16552.73,104021.74,83.08
Dec-2023,185.7,152.3,151.8,1257.0,1267.0,364181.25,191.2,-656.23,1311.76,1968.0,9555.33,8899.1,22815.31,5143.0,38391.03,57151.51,-18760.48,67683.01,83.12
Nov-2023,186.3,141.1,153.1,1253.0,1262.0,394967.95,192.6,802.87,1774.2,971.33,4197.96,5000.83,21859.71,1146.0,33745.88,55062.11,-21316.23,110925.51,83.35
Oct-2023,185.3,144.9,152.5,1241.0,1251.0,413685.3,190.9,3805.45,5275.65,1470.2,-1741.13,2064.32,21427.21,742.0,33433.54,63862.25,-30428.71,67383.52,83.27
Sep-2023,184.1,142.3,151.8,1226.0,1237.0,412234.35,189.0,630.69,1919.98,1289.29,-2226.19,-1595.5,21283.78,2764.0,34407.98,54485.03,-20077.05,70012.01,83.06
Aug-2023,186.2,145.8,152.5,1224.0,1234.0,450064.05,192.5,-539.85,738.8,1278.65,2880.22,2340.37,20915.04,2768.0,38284.78,62298.15,-24013.37,62280.0,82.68
Jul-2023,186.3,142.7,152.1,1215.0,1226.0,444567.6,193.5,-925.12,377.21,1302.33,4292.49,3367.38,20808.03,2559.0,34489.89,53485.93,-18996.03,58030.0,82.25
Jun-2023,181.0,143.9,148.9,1196.0,1207.0,433212.15,183.1,1304.8,1967.14,662.33,7649.74,8954.54,20484.67,7959.0,34324.89,53512.86,-19187.97,67900.0,82.04
May-2023,179.1,145.6,149.4,1186.0,1197.0,433543.35,179.1,664.93,1483.92,818.99,5986.04,6650.97,19887.24,7648.0,34953.43,57478.35,-22524.92,77500.01,82.68
Apr-2023,178.1,140.7,151.1,1180.0,1192.0,421736.55,177.9,2758.1,3911.15,1153.05,2095.04,4853.14,19687.33,5360.0,34618.45,49055.63,-14437.18,22300.0,81.78
Mar-2023,177.2,151.7,151.0,1175.0,1186.0,353688.25,177.0,1274.04,2392.47,1118.43,1559.64,2833.69,19363.3,3840.0,41957.82,60920.8,-18962.98,171895.67,82.22
Feb-2023,176.8,139.3,150.9,1171.0,1182.0,364530.1,176.6,1716.48,2860.37,1143.89,-331.51,1384.98,18402.31,644.0,37013.7,53581.5,-16567.8,77192.0,82.68
Jan-2023,176.5,147.4,150.7,1170.0,1181.0,363889.15,176.7,3364.25,4066.34,702.09,-2892.32,471.92,18206.71,1777.0,35799.38,52826.38,-17027.0,51846.0,81.74
Dec-2022,175.7,145.9,150.5,1167.0,1179.0,359673.3,175.9,1870.3,3575.14,1704.84,-688.02,1182.27,17558.44,2768.0,38084.56,61218.76,-23134.2,53461.85,82.79
Nov-2022,176.5,137.7,152.5,1167.0,1178.0,362307.65,178.3,-1007.85,1575.16,2583.01,4736.11,3728.26,16719.23,5203.0,34887.1,56951.41,-22064.31,57199.0,81.6
Oct-2022,176.7,129.5,152.9,1159.0,1170.0,373332.25,179.6,1167.66,2176.93,1009.27,562.46,1730.12,16104.43,1430.0,31601.79,57910.5,-26308.71,70450.0,82.39
Sep-2022,175.3,133.8,151.9,1149.0,1161.0,400866.35,177.8,1567.37,2565.66,998.29,-1175.04,392.33,16008.4,2709.0,35390.8,63372.11,-27981.31,53591.02,81.55
Aug-2022,174.3,131.5,153.2,1140.0,1152.0,410076.8,176.3,748.31,1968.49,1220.18,7336.85,8085.16,16017.67,1875.0,37017.74,61879.15,-24861.41,59526.0,79.72
Jul-2022,173.4,134.4,154.0,1131.0,1143.0,374226.45,175.0,3893.28,4562.89,669.61,370.06,4263.34,15877.96,2616.0,38335.8,63771.39,-25435.59,52990.0,79.42
Jun-2022,172.6,138.3,155.4,1125.0,1137.0,372542.35,174.9,2755.21,3869.39,1114.18,-6062.49,-3307.28,15680.64,1889.0,42279.52,64352.76,-22073.24,65450.0,78.94
May-2022,171.7,137.8,155.0,1119.0,1131.0,384544.0,173.3,5311.4,6042.65,731.25,-4682.84,628.55,15910.4,1516.0,39003.62,61126.44,-22122.82,35290.0,77.66
Apr-2022,170.1,134.5,152.3,1108.0,1119.0,364999.65,170.8,5325.85,6350.47,1024.62,-3884.76,1441.08,16134.74,362.0,39698.17,58057.7,-18359.53,9500.0,76.42
Mar-2022,167.7,148.8,148.9,1098.0,1109.0,352292.55,168.4,3051.98,5145.27,2093.29,-4992.89,-1940.9,16918.12,5042.0,44573.71,63090.56,-18516.85,103665.0,75.81
Feb-2022,166.1,131.4,145.3,1095.0,1106.0,364645.3,166.2,4657.32,5168.92,511.6,-5788.36,-1131.05,17292.98,2328.0,37153.99,55898.39,-18744.4,52118.0,75.49
Jan-2022,165.7,139.3,143.8,1095.0,1105.0,395881.0,166.4,6067.2,6939.29,872.09,-4433.91,1633.29,18089.38,7979.0,35233.01,52566.77,-17333.76,79535.43,74.97
